stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"19452","Through St/Riversdale Rd #30","-37.82807576","145.02908305","https://transport.vic.gov.au/stop/2157/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19454","Power St/Riversdale Rd #29","-37.82761428","145.02574364","https://transport.vic.gov.au/stop/2147/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19456","Yarra Bvd/Swan St #18","-37.82641976","145.02061738","https://transport.vic.gov.au/stop/2118/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19457","Madden Gr/Swan St #17","-37.82724846","145.01684592","https://transport.vic.gov.au/stop/2141/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19458","Park Gr/Swan St #16","-37.82719850","145.01227992","https://transport.vic.gov.au/stop/2145/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19459","Stawell St/Swan St #15","-37.82690101","145.00960659","https://transport.vic.gov.au/stop/2154/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19460","Burnley St/Swan St #14","-37.82659348","145.00687674","https://transport.vic.gov.au/stop/2108/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19461","Edinburgh St/Swan St #13","-37.82639233","145.00510977","https://transport.vic.gov.au/stop/2121/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19462","Coppin St/Swan St #12","-37.82610214","145.00234542","https://transport.vic.gov.au/stop/2114/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19463","Church St/Swan St #11","-37.82561005","144.99778009","https://transport.vic.gov.au/stop/2110/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19464","Swan Street Shopping Centre/Swan St #10","-37.82537981","144.99590035","https://transport.vic.gov.au/stop/2111/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
