service_id,date,exception_type
"T0_9","20251225","2"
"T0_9","20251226","2"
"T0_9","20260101","2"
"T0_9","20260126","2"
"T0+WD10_1","20251226","2"
"UI","20260102","2"
"UI","20260109","2"
"UI","20260116","2"
"UI","20260123","2"
"UL","20260101","2"
"UL","20260108","2"
"UL","20260115","2"
"UL","20260122","2"
"UX","20251225","2"
"UX","20260108","2"
"UX","20260115","2"
"UX","20260122","2"
